source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
egta	Chuv1	male	CHV	Chuvashe	Chuvashes, Bashkortostan_Kozhay-Semyonovka, Russia	EUR	European Ancestry	54.7	53.7
egta	Cosk1	male	CSS	Cossack	Cossacks, Zaporozhie, Ukraine	EUR	European Ancestry	35.2	47.8
egta	Cosk2	male	CSS	Cossack	Cossacks, Zaporozhie, Ukraine	EUR	European Ancestry	35.2	47.8
egta	CoskK1	male	CSK	Cossacks Kuban	Cossacks_Kuban, Kuban, Russia	EUR	European Ancestry	38.7	45
egta	CoskK2	male	CSK	Cossacks Kuban	Cossacks_Kuban, Kuban, Russia	EUR	European Ancestry	39	45
egta	croat16	female	CRO	Croat	Croats, Lug_Zepce, Bosnia-Herzegovina	EUR	European Ancestry	18.1	44.5
egta	croat11	male	CRO	Croat	Croats, Mostar, Bosnia-Herzegovina	EUR	European Ancestry	17.8	43.3
egta	croat13	male	CRO	Croat	Croats, Duge_Grude, Bosnia-Herzegovina	EUR	European Ancestry	17.4	43.4
egta	croat12	male	CRO	Croat	Croats, Ponijevo_Zepce, Bosnia-Herzegovina	EUR	European Ancestry	18	44.5
egta	Est6	male	EST	Estonian	Estonians, PŸhalepa vald, Estonia	EUR	European Ancestry	22.8	59
egta	Est2	male	EST	Estonian	Estonians, R›uge vald, Estonia	EUR	European Ancestry	26.9	57.7
egta	Est3	female	EST	Estonian	Estonians, Vastseliina vald, Estonia	EUR	European Ancestry	27.3	57.7
egta	Est4	male	EST	Estonian	Estonians, J›geva vald, Estonia	EUR	European Ancestry	26.4	58.8
egta	Est5	male	EST	Estonian	Estonians, Kolga-Jaani vald, Estonia	EUR	European Ancestry	25.9	58.5
egta	Est1	female	EST	Estonian	Estonians, K›lleste vald, Estonia	EUR	European Ancestry	26.8	58.1
egta	Fin1	female	FIN	Finnish	Finnish, Finland	EUR	European Ancestry	23.4	60.9
egta	Fin2	female	FIN	Finnish	Finnish, Finland	EUR	European Ancestry	23.4	60.9
