source	sample	population	superpopulation
1000g	HG03978	ITU	SAS
1000g	HG02128	KHV	EAS
1000g	HG03470	MSL	AFR
1000g	HG03985	STU	SAS
1000g	HG02130	KHV	EAS
1000g	HG03538	GWD	AFR
1000g	HG03992	STU	SAS
1000g	HG02135	KHV	EAS
1000g	HG03540	GWD	AFR
1000g	HG03909	BEB	SAS
1000g	HG02166	CDX	EAS
1000g	HG03557	MSL	AFR
1000g	HG03911	BEB	SAS
1000g	HG03916	BEB	SAS
1000g	HG02178	CDX	EAS
1000g	HG03928	BEB	SAS
1000g	HG02180	CDX	EAS
1000g	HG03571	MSL	AFR
1000g	HG03884	STU	SAS
1000g	HG02185	CDX	EAS
1000g	HG03576	MSL	AFR
1000g	HG03896	STU	SAS
1000g	HG03696	STU	SAS
1000g	HG03904	BEB	SAS
1000g	HG02224	IBS	EUR
1000g	HG03704	PJL	SAS
1000g	HG03803	BEB	SAS
1000g	HG02229	IBS	EUR
1000g	HG03709	PJL	SAS
1000g	HG03808	BEB	SAS
1000g	HG02231	IBS	EUR
1000g	HG03711	STU	SAS
1000g	HG03815	BEB	SAS
1000g	HG02236	IBS	EUR
1000g	HG03716	ITU	SAS
1000g	HG02250	CDX	EAS
1000g	HG03487	PJL	SAS
1000g	HG03930	BEB	SAS
1000g	HG02142	KHV	EAS
1000g	HG03499	ESN	AFR
1000g	HG03942	BEB	SAS
1000g	HG02147	PEL	AMR
1000g	HG03514	ESN	AFR
1000g	HG03947	STU	SAS
1000g	HG02154	CDX	EAS
1000g	HG03519	ESN	AFR
1000g	HG03834	BEB	SAS
1000g	HG01973	PEL	AMR
1000g	HG03521	ESN	AFR
1000g	HG03846	STU	SAS
1000g	HG01978	PEL	AMR
1000g	HG03639	PJL	SAS
1000g	HG04003	STU	SAS
1000g	HG01980	PEL	AMR
1000g	HG03641	PJL	SAS
1000g	HG04015	ITU	SAS
1000g	HG01985	ACB	AFR
1000g	HG03646	STU	SAS
1000g	HG04022	ITU	SAS
1000g	HG02053	ACB	AFR
1000g	HG03653	PJL	SAS
1000g	HG04039	STU	SAS
1000g	HG02058	KHV	EAS
1000g	HG03660	PJL	SAS
1000g	HG02060	KHV	EAS
1000g	HG03754	STU	SAS
1000g	HG02072	KHV	EAS
1000g	HG03761	PJL	SAS
1000g	HG04060	ITU	SAS
1000g	HG02027	KHV	EAS
1000g	HG03858	STU	SAS
1000g	HG03773	ITU	SAS
1000g	HG03872	ITU	SAS
1000g	HG02419	ACB	AFR
1000g	HG03583	MSL	AFR
1000g	NA12146	CEU	EUR
1000g	HG02433	ACB	AFR
1000g	NA12273	CEU	EUR
1000g	HG02445	ACB	AFR
1000g	HG03595	BEB	SAS
1000g	NA12329	CEU	EUR
1000g	HG02464	GWD	AFR
1000g	HG03603	BEB	SAS
1000g	NA12336	CEU	EUR
1000g	HG02558	ACB	AFR
1000g	HG03672	STU	SAS
1000g	NA12343	CEU	EUR
1000g	HG02572	GWD	AFR
1000g	HG03684	STU	SAS
1000g	NA12348	CEU	EUR
1000g	HG02577	ACB	AFR
1000g	HG03689	STU	SAS
1000g	NA12386	CEU	EUR
1000g	HG02584	GWD	AFR
1000g	HG03691	STU	SAS
1000g	NA12413	CEU	EUR
1000g	HG02589	GWD	AFR
1000g	HG03615	BEB	SAS
1000g	NA12716	CEU	EUR
1000g	HG02596	GWD	AFR
1000g	HG03634	PJL	SAS
1000g	NA12761	CEU	EUR
1000g	HG02279	PEL	AMR
1000g	NA12766	CEU	EUR
1000g	HG02281	ACB	AFR
1000g	HG03730	ITU	SAS
1000g	NA12778	CEU	EUR
1000g	HG02286	PEL	AMR
1000g	HG03742	ITU	SAS
1000g	NA12812	CEU	EUR
1000g	HG02293	PEL	AMR
1000g	HG03999	STU	SAS
1000g	NA12817	CEU	EUR
1000g	HG02298	PEL	AMR
1000g	HG04017	ITU	SAS
1000g	NA12829	CEU	EUR
1000g	HG02301	PEL	AMR
1000g	NA12843	CEU	EUR
1000g	HG02471	ACB	AFR
1000g	HG04029	STU	SAS
1000g	NA12874	CEU	EUR
1000g	HG02476	ACB	AFR
1000g	HG04036	STU	SAS
1000g	NA18485	YRI	AFR
1000g	HG02490	PJL	SAS
1000g	HG04229	STU	SAS
1000g	HG02495	PJL	SAS
1000g	HG03886	STU	SAS
