project	sample	alias	accession	center	platform	instrument	library	layout	description	fastq_se_md5	fastq_se_ftp	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_se	fastq_r1	fastq_r2
PRJEB26349	DA380	Low depth genome sequence for DA380	ERR2564020	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for DA380	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	a6637e3f3a1eb10f1bc2b94abf287024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/000/ERR2564020/ERR2564020.fastq.gz					data/source/PRJEB26349/fastq/ERR2564020_se.fastq.gz		
PRJEB26349	MA2213	Low depth genome sequence for MA2213	ERR2564021	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2213	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	4eea6418e90ae378dba51abee1b7f819	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/001/ERR2564021/ERR2564021.fastq.gz					data/source/PRJEB26349/fastq/ERR2564021_se.fastq.gz		
PRJEB26349	MA2212	Low depth genome sequence for MA2212	ERR2564022	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2212	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	d778ec9975fedc9a92a1197ff580ff76	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/002/ERR2564022/ERR2564022.fastq.gz					data/source/PRJEB26349/fastq/ERR2564022_se.fastq.gz		
PRJEB26349	MA2210	Low depth genome sequence for MA2210	ERR2564023	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2210	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	5623c3ab568739d8286dc614c4a826c7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/003/ERR2564023/ERR2564023.fastq.gz					data/source/PRJEB26349/fastq/ERR2564023_se.fastq.gz		
PRJEB26349	MA2208	Low depth genome sequence for MA2208	ERR2564024	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2208	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	251f660087e2d8f4261a0267e731d7bc	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/004/ERR2564024/ERR2564024.fastq.gz					data/source/PRJEB26349/fastq/ERR2564024_se.fastq.gz		
PRJEB26349	MA2206	Low depth genome sequence for MA2206	ERR2564025	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2206	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	e9793d51cb342332db2a00520152cacd	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/005/ERR2564025/ERR2564025.fastq.gz					data/source/PRJEB26349/fastq/ERR2564025_se.fastq.gz		
PRJEB26349	MA2205	Low depth genome sequence for MA2205	ERR2564026	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2205	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	9d1b41cdba5dafc04cbb2e5bedf58fc7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/006/ERR2564026/ERR2564026.fastq.gz					data/source/PRJEB26349/fastq/ERR2564026_se.fastq.gz		
PRJEB26349	MA2203	Low depth genome sequence for MA2203	ERR2564027	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2203	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ff62a60d6696223ae2484583b2582d3c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/007/ERR2564027/ERR2564027.fastq.gz					data/source/PRJEB26349/fastq/ERR2564027_se.fastq.gz		
PRJEB26349	MA2200	Low depth genome sequence for MA2200	ERR2564028	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2200	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	4f6468200e87e5574d1aa06846a077c6	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/008/ERR2564028/ERR2564028.fastq.gz					data/source/PRJEB26349/fastq/ERR2564028_se.fastq.gz		
PRJEB26349	MA2198	Low depth genome sequence for MA2198	ERR2564029	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2198	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	c59f89276aaec1bdde8b483bdd75723a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/009/ERR2564029/ERR2564029.fastq.gz					data/source/PRJEB26349/fastq/ERR2564029_se.fastq.gz		
PRJEB26349	MA2197	Low depth genome sequence for MA2197	ERR2564030	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2197	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	eae2e62d6552d425f15065e86ea3a90e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/000/ERR2564030/ERR2564030.fastq.gz					data/source/PRJEB26349/fastq/ERR2564030_se.fastq.gz		
PRJEB26349	MA2196	Low depth genome sequence for MA2196	ERR2564031	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2196	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	6058917ced3131a32312f85c86929671	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/001/ERR2564031/ERR2564031.fastq.gz					data/source/PRJEB26349/fastq/ERR2564031_se.fastq.gz		
PRJEB26349	MA2195	Low depth genome sequence for MA2195	ERR2564032	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2195	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	1bc4f979b486c0ee2b1ea766fca1f547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/002/ERR2564032/ERR2564032.fastq.gz					data/source/PRJEB26349/fastq/ERR2564032_se.fastq.gz		
PRJEB26349	DA383	Low depth genome sequence for DA383	ERR2564033	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for DA383	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	722c76d838f7d0df10ed67d13bb802e3	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/003/ERR2564033/ERR2564033.fastq.gz					data/source/PRJEB26349/fastq/ERR2564033_se.fastq.gz		
PRJEB26349	DA382	Low depth genome sequence for DA382	ERR2564034	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for DA382	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	2c5a924df0d23461e305f003616a5f4d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/004/ERR2564034/ERR2564034.fastq.gz					data/source/PRJEB26349/fastq/ERR2564034_se.fastq.gz		
PRJEB26349	DA381	Low depth genome sequence for DA381	ERR2564035	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for DA381	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	51b4c432cc0aa77c900531d4bc14ffef	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/005/ERR2564035/ERR2564035.fastq.gz					data/source/PRJEB26349/fastq/ERR2564035_se.fastq.gz		
PRJEB26349	DA379	Low depth genome sequence for DA379	ERR2564036	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for DA379	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	7b39820efdb4e334f49eee3cfb09aff0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/006/ERR2564036/ERR2564036.fastq.gz					data/source/PRJEB26349/fastq/ERR2564036_se.fastq.gz		
PRJEB26349	Yamnaya	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2572845	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	HiSeq X Ten	Yamnaya	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	568409153ae2037477f16257900a34f5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2572845/ERR2572845.fastq.gz					data/source/PRJEB26349/fastq/ERR2572845_se.fastq.gz		
PRJEB26349	Sidelkino	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2572846	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	HiSeq X Ten	Sidelkino	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ddc53f863cd2dcbf7efcfb19907e0fa5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2572846/ERR2572846.fastq.gz					data/source/PRJEB26349/fastq/ERR2572846_se.fastq.gz		
PRJEB26349	EBA2	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2572847	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	HiSeq X Ten	EBA2	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	be2a5a8d12f96901374e8dbbec9eccbd	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2572847/ERR2572847.fastq.gz					data/source/PRJEB26349/fastq/ERR2572847_se.fastq.gz		
PRJEB26349	EBA1	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2572848	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	HiSeq X Ten	EBA1	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	9f1346da469563947eccee8af9c778b9	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2572848/ERR2572848.fastq.gz					data/source/PRJEB26349/fastq/ERR2572848_se.fastq.gz		
PRJEB26349	BOT2016	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2572849	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	HiSeq X Ten	BOT2016	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	529d9bcbb5e71d26773afc798c5c5456	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2572849/ERR2572849.fastq.gz					data/source/PRJEB26349/fastq/ERR2572849_se.fastq.gz		
PRJEB26349	BOT15	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2572850	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	HiSeq X Ten	BOT15	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ecb1a40a4f5c7fd46968fd0beb7f37d3	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2572850/ERR2572850.fastq.gz					data/source/PRJEB26349/fastq/ERR2572850_se.fastq.gz		
PRJEB26349	BOT14	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2572851	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	HiSeq X Ten	BOT14	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	a9e832ed50fa35a41fb4ac8a8689b5be	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2572851/ERR2572851.fastq.gz					data/source/PRJEB26349/fastq/ERR2572851_se.fastq.gz		
PRJEB26349	DA354	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573052	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	DA354	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	943003222bf46758bac3b588d1cf7842	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2573052/ERR2573052.fastq.gz					data/source/PRJEB26349/fastq/ERR2573052_se.fastq.gz		
PRJEB26349	DA358	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573053	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	DA358	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	07773bec92f78099c80fb19db919a87b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2573053/ERR2573053.fastq.gz					data/source/PRJEB26349/fastq/ERR2573053_se.fastq.gz		
PRJEB26349	DA360	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573054	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	DA360	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	6a9db7c476daaaba972f01e98c9fb767	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2573054/ERR2573054.fastq.gz					data/source/PRJEB26349/fastq/ERR2573054_se.fastq.gz		
PRJEB26349	DA340	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573055	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	DA340	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	5ba44a0037311cbca4bb57034b49b0fb	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2573055/ERR2573055.fastq.gz					data/source/PRJEB26349/fastq/ERR2573055_se.fastq.gz		
PRJEB26349	DA341	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573056	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	DA341	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	62840ec38303669e5c272e03ce8c1127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2573056/ERR2573056.fastq.gz					data/source/PRJEB26349/fastq/ERR2573056_se.fastq.gz		
PRJEB26349	DA357	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573057	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	DA357	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	bc9eee0eeb2c08d464242c4e2f57d62c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2573057/ERR2573057.fastq.gz					data/source/PRJEB26349/fastq/ERR2573057_se.fastq.gz		
PRJEB26349	DA359	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573058	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	DA359	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	a2328cb34c5ca8af927b625013898a94	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2573058/ERR2573058.fastq.gz					data/source/PRJEB26349/fastq/ERR2573058_se.fastq.gz		
PRJEB26349	RISE515	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573059	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE515	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	244927b9c5eb4cd5a335353796042561	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2573059/ERR2573059.fastq.gz					data/source/PRJEB26349/fastq/ERR2573059_se.fastq.gz		
PRJEB26349	RISE516	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573060	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE516	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	8d864a7866aefb7345ee12e5957125f1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2573060/ERR2573060.fastq.gz					data/source/PRJEB26349/fastq/ERR2573060_se.fastq.gz		
PRJEB26349	RISE662	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573061	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE662	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	fea73bf1ee6fca747398803609e48119	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2573061/ERR2573061.fastq.gz					data/source/PRJEB26349/fastq/ERR2573061_se.fastq.gz		
PRJEB26349	RISE664	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573062	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE664	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ef5588bae3ce78956ad256696b40c7aa	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2573062/ERR2573062.fastq.gz					data/source/PRJEB26349/fastq/ERR2573062_se.fastq.gz		
PRJEB26349	RISE667	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573063	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE667	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	d93ddec035dc46e2294129cb10f6cad8	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2573063/ERR2573063.fastq.gz					data/source/PRJEB26349/fastq/ERR2573063_se.fastq.gz		
PRJEB26349	RISE670	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573064	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE670	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	bfcc0990af9553de6542a2b8c17d1cf7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2573064/ERR2573064.fastq.gz					data/source/PRJEB26349/fastq/ERR2573064_se.fastq.gz		
PRJEB26349	RISE671	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573065	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE671	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	2268b42870a4b90169e43f58030a1285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2573065/ERR2573065.fastq.gz					data/source/PRJEB26349/fastq/ERR2573065_se.fastq.gz		
PRJEB26349	RISE672	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573066	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE672	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	3343ff3228dfe14f92294b969657bc44	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2573066/ERR2573066.fastq.gz					data/source/PRJEB26349/fastq/ERR2573066_se.fastq.gz		
PRJEB26349	RISE673	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ERR2573067	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	RISE673	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	d13ccee20f6abe5c8108b0cc9af4be5d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2573067/ERR2573067.fastq.gz					data/source/PRJEB26349/fastq/ERR2573067_se.fastq.gz		
