source	sample	population	superpopulation
ggvp	SC_GMMAN5482291	GWD	AFR
ggvp	SC_GMMAN5482323	GWD	AFR
ggvp	SC_GMMAN5482260	GWD	AFR
ggvp	SC_GMMAN5482284	GWD	AFR
ggvp	SC_GMMAN5482316	GWD	AFR
ggvp	SC_GMMAN5482215	GWD	AFR
ggvp	SC_GMMAN5482239	GWD	AFR
ggvp	SC_GMMAN5482176	GWD	AFR
ggvp	SC_GMMAN5482208	GWD	AFR
ggvp	SC_GMMAN5482203	GWD	AFR
ggvp	SC_GMMAN5482227	GWD	AFR
ggvp	SC_GMMAN5482164	GWD	AFR
ggvp	SC_GMFUL5306389	GWF	AFR
ggvp	SC_GMWOF5428863	GWW	AFR
ggvp	SC_GMFUL5306396	GWF	AFR
ggvp	SC_GMWOF5428832	GWW	AFR
ggvp	SC_GMFUL5306404	GWF	AFR
ggvp	SC_GMWOF5428825	GWW	AFR
ggvp	SC_GMMAN5482169	GWD	AFR
ggvp	SC_GMFUL5306341	GWF	AFR
ggvp	SC_GMMAN5482258	GWD	AFR
ggvp	SC_GMJOL5309963	GWJ	AFR
ggvp	SC_GMJOL5309956	GWJ	AFR
ggvp	SC_GMJOL5309951	GWJ	AFR
ggvp	SC_GMJOL5309975	GWJ	AFR
ggvp	SC_GMJOL5309920	GWJ	AFR
ggvp	SC_GMJOL5309944	GWJ	AFR
ggvp	SC_GMJOL5309968	GWJ	AFR
ggvp	SC_GMFUL5306416	GWF	AFR
ggvp	SC_GMFUL5306411	GWF	AFR
ggvp	SC_GMFUL5306353	GWF	AFR
ggvp	SC_GMFUL5309718	GWF	AFR
ggvp	SC_GMFUL5306377	GWF	AFR
ggvp	SC_GMJOL5309812	GWJ	AFR
ggvp	SC_GMJOL5309836	GWJ	AFR
ggvp	SC_GMJOL5309797	GWJ	AFR
ggvp	SC_GMJOL5309805	GWJ	AFR
ggvp	SC_GMJOL5309829	GWJ	AFR
ggvp	SC_GMJOL5309913	GWJ	AFR
ggvp	SC_GMJOL5309937	GWJ	AFR
ggvp	SC_GMJOL5309843	GWJ	AFR
ggvp	SC_GMJOL5309867	GWJ	AFR
ggvp	SC_GMJOL5309925	GWJ	AFR
ggvp	SC_GMJOL5309949	GWJ	AFR
ggvp	SC_GMJOL5309918	GWJ	AFR
ggvp	SC_GMJOL5309982	GWJ	AFR
ggvp	SC_GMFUL5309756	GWF	AFR
ggvp	SC_GMFUL5309701	GWF	AFR
ggvp	SC_GMFUL5309725	GWF	AFR
ggvp	SC_GMWOF5428715	GWW	AFR
ggvp	SC_GMWOF5428739	GWW	AFR
ggvp	SC_GMWOF5428708	GWW	AFR
ggvp	SC_GMWOF5428842	GWW	AFR
ggvp	SC_GMWOF5428866	GWW	AFR
ggvp	SC_GMWOF5428811	GWW	AFR
ggvp	SC_GMMAN5482332	GWD	AFR
ggvp	SC_GMMAN5482293	GWD	AFR
ggvp	SC_GMMAN5482301	GWD	AFR
ggvp	SC_GMMAN5482255	GWD	AFR
ggvp	SC_GMMAN5482192	GWD	AFR
ggvp	SC_GMMAN5482200	GWD	AFR
ggvp	SC_GMMAN5482224	GWD	AFR
ggvp	SC_GMMAN5482248	GWD	AFR
ggvp	SC_GMMAN5482185	GWD	AFR
ggvp	SC_GMMAN5482217	GWD	AFR
ggvp	SC_GMWOF5428835	GWW	AFR
ggvp	SC_GMWOF5428859	GWW	AFR
ggvp	SC_GMWOF5428796	GWW	AFR
ggvp	SC_GMWOF5428804	GWW	AFR
ggvp	SC_GMWOF5428828	GWW	AFR
ggvp	SC_GMWOF5428789	GWW	AFR
ggvp	SC_GMWOF5428861	GWW	AFR
ggvp	SC_GMMAN5482236	GWD	AFR
ggvp	SC_GMMAN5482173	GWD	AFR
ggvp	SC_GMMAN5482197	GWD	AFR
ggvp	SC_GMMAN5482205	GWD	AFR
ggvp	SC_GMMAN5482229	GWD	AFR
ggvp	SC_GMMAN5482231	GWD	AFR
ggvp	SC_GMMAN5482250	GWD	AFR
ggvp	SC_GMMAN5482243	GWD	AFR
ggvp	SC_GMMAN5482180	GWD	AFR
ggvp	SC_GMMAN5482212	GWD	AFR
ggvp	SC_GMWOF5428830	GWW	AFR
ggvp	SC_GMWOF5428854	GWW	AFR
ggvp	SC_GMWOF5428823	GWW	AFR
ggvp	SC_GMWOF5428847	GWW	AFR
ggvp	SC_GMWOF5428816	GWW	AFR
ggvp	SC_GMWOF5428873	GWW	AFR
ggvp	SC_GMMAN5482178	GWD	AFR
ggvp	SC_GMMAN5482274	GWD	AFR
ggvp	SC_GMMAN5482298	GWD	AFR
ggvp	SC_GMMAN5482306	GWD	AFR
ggvp	SC_GMFUL5306354	GWF	AFR
ggvp	SC_GMJOL5309914	GWJ	AFR
ggvp	SC_GMJOL5309899	GWJ	AFR
ggvp	SC_GMJOL5309907	GWJ	AFR
ggvp	SC_GMJOL5309844	GWJ	AFR
ggvp	SC_GMJOL5309868	GWJ	AFR
ggvp	SC_GMJOL5309813	GWJ	AFR
ggvp	SC_GMJOL5309837	GWJ	AFR
ggvp	SC_GMWOF5428778	GWW	AFR
ggvp	SC_GMWOF5428723	GWW	AFR
ggvp	SC_GMWOF5428747	GWW	AFR
ggvp	SC_GMFUL5306412	GWF	AFR
ggvp	SC_GMJOL5309971	GWJ	AFR
ggvp	SC_GMJOL5309940	GWJ	AFR
ggvp	SC_GMJOL5309964	GWJ	AFR
ggvp	SC_GMJOL5309933	GWJ	AFR
ggvp	SC_GMFUL5306397	GWF	AFR
ggvp	SC_GMFUL5306405	GWF	AFR
ggvp	SC_GMFUL5306429	GWF	AFR
ggvp	SC_GMFUL5309738	GWF	AFR
ggvp	SC_GMFUL5306366	GWF	AFR
ggvp	SC_GMFUL5306359	GWF	AFR
ggvp	SC_GMJOL5309945	GWJ	AFR
ggvp	SC_GMJOL5309969	GWJ	AFR
ggvp	SC_GMJOL5309851	GWJ	AFR
ggvp	SC_GMJOL5309875	GWJ	AFR
ggvp	SC_GMJOL5309820	GWJ	AFR
ggvp	SC_GMFUL5309764	GWF	AFR
ggvp	SC_GMFUL5306392	GWF	AFR
ggvp	SC_GMFUL5306400	GWF	AFR
ggvp	SC_GMFUL5309733	GWF	AFR
ggvp	SC_GMFUL5306424	GWF	AFR
ggvp	SC_GMFUL5306361	GWF	AFR
ggvp	SC_GMFUL5309702	GWF	AFR
ggvp	SC_GMFUL5306385	GWF	AFR
ggvp	SC_GMFUL5309719	GWF	AFR
ggvp	SC_GMJOL5309983	GWJ	AFR
ggvp	SC_GMJOL5309952	GWJ	AFR
ggvp	SC_GMJOL5309976	GWJ	AFR
ggvp	SC_GMJOL5309921	GWJ	AFR
ggvp	SC_GMJOL5309957	GWJ	AFR
ggvp	SC_GMJOL5309926	GWJ	AFR
ggvp	SC_GMJOL5309919	GWJ	AFR
ggvp	SC_GMFUL5306431	GWF	AFR
ggvp	SC_GMFUL5306347	GWF	AFR
ggvp	SC_GMWOF5428831	GWW	AFR
ggvp	SC_GMWOF5428855	GWW	AFR
ggvp	SC_GMWOF5428879	GWW	AFR
ggvp	SC_GMWOF5428792	GWW	AFR
ggvp	SC_GMWOF5428800	GWW	AFR
ggvp	SC_GMWOF5428824	GWW	AFR
ggvp	SC_GMWOF5428817	GWW	AFR
ggvp	SC_GMMAN5482211	GWD	AFR
ggvp	SC_GMMAN5482235	GWD	AFR
ggvp	SC_GMMAN5482172	GWD	AFR
ggvp	SC_GMMAN5482228	GWD	AFR
ggvp	SC_GMMAN5482165	GWD	AFR
ggvp	SC_GMMAN5482189	GWD	AFR
ggvp	SC_GMMAN5482292	GWD	AFR
ggvp	SC_GMMAN5482300	GWD	AFR
ggvp	SC_GMMAN5482324	GWD	AFR
ggvp	SC_GMMAN5482348	GWD	AFR
ggvp	SC_GMMAN5482285	GWD	AFR
ggvp	SC_GMMAN5482216	GWD	AFR
ggvp	SC_GMMAN5482177	GWD	AFR
ggvp	SC_GMMAN5482209	GWD	AFR
ggvp	SC_GMMAN5482266	GWD	AFR
ggvp	SC_GMMAN5482191	GWD	AFR
ggvp	SC_GMMAN5482223	GWD	AFR
ggvp	SC_GMMAN5482247	GWD	AFR
ggvp	SC_GMMAN5482184	GWD	AFR
ggvp	SC_GMWOF5428812	GWW	AFR
ggvp	SC_GMWOF5428797	GWW	AFR
ggvp	SC_GMWOF5428805	GWW	AFR
ggvp	SC_GMWOF5428829	GWW	AFR
ggvp	SC_GMWOF5428850	GWW	AFR
ggvp	SC_GMWOF5428874	GWW	AFR
ggvp	SC_GMWOF5428843	GWW	AFR
ggvp	SC_GMWOF5428867	GWW	AFR
ggvp	SC_GMWOF5428906	GWW	AFR
ggvp	SC_GMMAN5482242	GWD	AFR
ggvp	SC_GMWOF5428716	GWW	AFR
ggvp	SC_GMWOF5428728	GWW	AFR
