source	sample	sex	population	population_name	long_ID	pop_ID	annotation	superpopulation	superpopulation_name
appg	APPG7555928	Male	YEM	Yemen	longranger222_wgs_27426_APPG7555928_GRCh38_gatk	YEMEN3	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555929	Male	YEM	Yemen	longranger222_wgs_27426_APPG7555929_GRCh38_gatk	YEMEN4	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555930	Male	YEM	Yemen	longranger222_wgs_27426_APPG7555930_GRCh38_gatk	YEMEN5	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555931	Male	YEM	Yemen	longranger222_wgs_APPG7555931_GRCh38_gatk	YEMEN6	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555932	Male	YEM	Yemen	longranger222_wgs_27426_APPG7555932_GRCh38_gatk	YEMEN7	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555933	Male	YEM	Yemen	longranger222_wgs_27426_APPG7555933_GRCh38_gatk	YEMEN8	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555934	Male	YEM	Yemen	longranger222_wgs_27426_APPG7555934_GRCh38_gatk	YEMEN9	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555935	Male	YEM	Yemen	longranger222_wgs_27492_APPG7555935_GRCh38_gatk	YEMEN10	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555936	Male	YEM	Yemen	longranger222_wgs_27554_APPG7555936_GRCh38_gatk	YEMEN11	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555937	Male	YEM	Yemen	longranger222_wgs_27554_APPG7555937_GRCh38_gatk	YEMEN12	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555938	Male	YEM	Yemen	longranger222_wgs_APPG7555938_GRCh38_gatk	YEMEN13	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555939	Male	YEM	Yemen	longranger222_wgs_27491_APPG7555939_GRCh38_gatk	YEMEN14	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555941	Female	YEM	Yemen	longranger222_wgs_27491_APPG7555941_GRCh38_gatk	YEMEN16	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555942	Female	YEM	Yemen	longranger222_wgs_27491_APPG7555942_GRCh38_gatk	YEMEN17	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555943	Male	YEM	Yemen	longranger222_wgs_27489_APPG7555943_GRCh38_gatk	YEMEN18	Yemen.o	MEA	Middle Eastern Ancestry
