sample	vcf_ftp
APPG7555934	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555934.phased_variants.vcf.gz
APPG7555935	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555935.phased_variants.vcf.gz
APPG7555936	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555936.phased_variants.vcf.gz
APPG7555937	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555937.phased_variants.vcf.gz
APPG7555938	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555938.phased_variants.vcf.gz
APPG7555939	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555939.phased_variants.vcf.gz
APPG7555941	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555941.phased_variants.vcf.gz
APPG7555942	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555942.phased_variants.vcf.gz
APPG7555943	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555943.phased_variants.vcf.gz
APPG7555944	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555944.phased_variants.vcf.gz
APPG7555945	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555945.phased_variants.vcf.gz
APPG7555946	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555946.phased_variants.vcf.gz
APPG7555947	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555947.phased_variants.vcf.gz
APPG7555948	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555948.phased_variants.vcf.gz
APPG7555949	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555949.phased_variants.vcf.gz
APPG7555950	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555950.phased_variants.vcf.gz
APPG7555951	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555951.phased_variants.vcf.gz
APPG7555952	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555952.phased_variants.vcf.gz
APPG7555953	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555953.phased_variants.vcf.gz
APPG7555954	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555954.phased_variants.vcf.gz
APPG7555955	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555955.phased_variants.vcf.gz
APPG7555956	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555956.phased_variants.vcf.gz
APPG7555957	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555957.phased_variants.vcf.gz
APPG7555958	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555958.phased_variants.vcf.gz
APPG7555959	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555959.phased_variants.vcf.gz
APPG7555960	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555960.phased_variants.vcf.gz
APPG7555961	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555961.phased_variants.vcf.gz
APPG7623331	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623331.phased_variants.vcf.gz
APPG7623332	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623332.phased_variants.vcf.gz
APPG7623333	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623333.phased_variants.vcf.gz
APPG7623334	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623334.phased_variants.vcf.gz
APPG7623335	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623335.phased_variants.vcf.gz
APPG7623336	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623336.phased_variants.vcf.gz
APPG7623337	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623337.phased_variants.vcf.gz
APPG7623338	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623338.phased_variants.vcf.gz
APPG7623339	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623339.phased_variants.vcf.gz
APPG7623340	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623340.phased_variants.vcf.gz
APPG7623341	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623341.phased_variants.vcf.gz
APPG7623342	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623342.phased_variants.vcf.gz
APPG7623343	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623343.phased_variants.vcf.gz
APPG7623344	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623344.phased_variants.vcf.gz
APPG7623345	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623345.phased_variants.vcf.gz
APPG7623346	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623346.phased_variants.vcf.gz
APPG7623347	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623347.phased_variants.vcf.gz
APPG7623348	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623348.phased_variants.vcf.gz
APPG7623349	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623349.phased_variants.vcf.gz
APPG7623350	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623350.phased_variants.vcf.gz
APPG7623351	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7623351.phased_variants.vcf.gz
