source	sample	population	population_name	superpopulation	superpopulation_name
appg	APPG7623349	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623350	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7623351	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836393	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836394	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836395	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836396	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836397	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836398	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836399	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836401	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836402	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836403	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836404	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836405	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836406	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836407	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836408	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7836409	IRQ	Iraq	MEA	Middle Eastern Ancestry
appg	APPG7836410	IRQ	Iraq	MEA	Middle Eastern Ancestry
appg	APPG7850840	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7850841	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
