source	sample	population	population_name	superpopulation	superpopulation_name
hgdp	HGDP01192	MIA	Miao	EAS	East Asian Ancestry
hgdp	HGDP01193	MIA	Miao	EAS	East Asian Ancestry
hgdp	HGDP01194	MIA	Miao	EAS	East Asian Ancestry
hgdp	HGDP01195	MIA	Miao	EAS	East Asian Ancestry
hgdp	HGDP01196	MIA	Miao	EAS	East Asian Ancestry
hgdp	HGDP01197	MIA	Miao	EAS	East Asian Ancestry
hgdp	HGDP01200	MND	Mandenka	AFR	African Ancestry
hgdp	HGDP01201	MND	Mandenka	AFR	African Ancestry
hgdp	HGDP01202	MND	Mandenka	AFR	African Ancestry
hgdp	HGDP01204	ORQ	Oroqen	EAS	East Asian Ancestry
hgdp	HGDP01205	ORQ	Oroqen	EAS	East Asian Ancestry
hgdp	HGDP01206	ORQ	Oroqen	EAS	East Asian Ancestry
hgdp	HGDP01207	ORQ	Oroqen	EAS	East Asian Ancestry
hgdp	HGDP01208	ORQ	Oroqen	EAS	East Asian Ancestry
hgdp	HGDP01209	ORQ	Oroqen	EAS	East Asian Ancestry
hgdp	HGDP01212	ORQ	Oroqen	EAS	East Asian Ancestry
hgdp	HGDP01213	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01214	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01216	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01217	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01218	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01219	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01220	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01221	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01222	DAR	Daur	EAS	East Asian Ancestry
hgdp	HGDP01224	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01225	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01226	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01227	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01229	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01230	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01231	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01232	MNG	Mongolian	EAS	East Asian Ancestry
hgdp	HGDP01233	HZH	Hezhen	EAS	East Asian Ancestry
hgdp	HGDP01234	HZH	Hezhen	EAS	East Asian Ancestry
hgdp	HGDP01236	HZH	Hezhen	EAS	East Asian Ancestry
hgdp	HGDP01237	HZH	Hezhen	EAS	East Asian Ancestry
hgdp	HGDP01238	HZH	Hezhen	EAS	East Asian Ancestry
hgdp	HGDP01239	HZH	Hezhen	EAS	East Asian Ancestry
hgdp	HGDP01241	HZH	Hezhen	EAS	East Asian Ancestry
hgdp	HGDP01243	XIB	Xibo	EAS	East Asian Ancestry
hgdp	HGDP01244	XIB	Xibo	EAS	East Asian Ancestry
hgdp	HGDP01245	XIB	Xibo	EAS	East Asian Ancestry
hgdp	HGDP01247	XIB	Xibo	EAS	East Asian Ancestry
hgdp	HGDP01248	XIB	Xibo	EAS	East Asian Ancestry
hgdp	HGDP01249	XIB	Xibo	EAS	East Asian Ancestry
hgdp	HGDP01251	XIB	Xibo	EAS	East Asian Ancestry
hgdp	HGDP01254	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01255	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01256	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01257	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01258	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01259	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01260	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01261	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01262	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01263	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01264	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01265	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01266	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01267	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01268	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01269	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01270	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01271	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01272	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01273	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01275	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01276	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01277	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01279	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01280	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01282	MZB	Mozabite	MEA	Middle Eastern Ancestry
hgdp	HGDP01283	MND	Mandenka	AFR	African Ancestry
hgdp	HGDP01285	MND	Mandenka	AFR	African Ancestry
hgdp	HGDP01287	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01288	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01289	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01290	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01291	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01292	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01293	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01294	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01295	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01296	NRH	Northern Han	EAS	East Asian Ancestry
hgdp	HGDP01298	UYG	Uygur	CSA	Central and South Asian Ancestry
hgdp	HGDP01299	UYG	Uygur	CSA	Central and South Asian Ancestry
