source	sample	population	population_name	superpopulation	superpopulation_name
ggvp	SC_GMJOL5309890	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309891	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309895	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309896	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309897	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309898	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309899	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309903	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309904	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309905	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309906	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309907	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309911	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309912	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309913	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309914	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309917	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309918	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309919	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309920	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309921	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309922	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309925	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309926	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309927	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309928	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309929	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309930	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309933	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309934	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309935	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309936	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309937	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309939	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309940	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309941	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309942	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309943	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309944	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309945	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309948	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309949	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309950	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309951	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309952	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309953	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309956	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309957	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309958	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309959	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309960	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309961	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309963	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309964	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309965	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309966	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309967	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309968	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309969	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309971	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309972	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309973	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309974	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309975	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309976	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309977	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309979	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309980	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309981	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309982	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309983	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309984	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309985	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMMAN5482162	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482163	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482164	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482165	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482168	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482169	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482170	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482171	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482172	GWD	Gambian Mandinka	AFR	African Ancestry
ggvp	SC_GMMAN5482173	GWD	Gambian Mandinka	AFR	African Ancestry
